groupi	groupj	w
terminase3	terminase32	1
terminase3	terminase33	4
terminase3	terminase34	4
terminase3	terminase38	5
terminase3	terminase39	8
terminase3	terminase4	6
terminase3	terminase44	14
terminase3	terminase5	61
terminase3	terminase6	38
terminase3	terminase7	50
terminase3	terminase8	55
terminase3	terminase9	22
terminase31	tectviridae	1
terminase31	terminase1	6
terminase31	terminase10	1
terminase31	terminase11	5
terminase31	terminase12	1
terminase31	terminase13	7
terminase31	terminase14	7
terminase31	terminase15	4
terminase31	terminase16	4
terminase31	terminase17	1
terminase31	terminase18	4
terminase31	terminase2	4
terminase31	terminase22	3
terminase31	terminase23	3
terminase31	terminase24	3
terminase31	terminase25	2
terminase31	terminase26	3
terminase31	terminase28	2
terminase31	terminase29	1
terminase31	terminase3	9
terminase31	terminase32	1
terminase31	terminase33	2
terminase31	terminase34	1
terminase31	terminase38	2
terminase31	terminase39	4
terminase31	terminase4	3
terminase31	terminase44	6
terminase31	terminase5	8
terminase31	terminase6	8
terminase31	terminase7	4
terminase31	terminase8	5
terminase31	terminase9	6
terminase32	tectviridae	1
terminase32	terminase1	1
terminase32	terminase10	1
terminase32	terminase11	8
terminase32	terminase12	1
terminase32	terminase13	3
terminase32	terminase14	4
terminase32	terminase15	2
terminase32	terminase16	4
terminase32	terminase17	1
terminase32	terminase18	1
terminase32	terminase2	4
terminase32	terminase22	1
terminase32	terminase23	2
terminase32	terminase24	2
terminase32	terminase25	1
terminase32	terminase26	1
terminase32	terminase28	1
terminase32	terminase29	1
terminase32	terminase3	1
terminase32	terminase31	1
terminase32	terminase33	1
terminase32	terminase34	1
terminase32	terminase38	1
terminase32	terminase39	1
terminase32	terminase4	1
terminase32	terminase44	2
terminase32	terminase5	5
terminase32	terminase6	1
terminase32	terminase7	3
terminase32	terminase8	2
terminase32	terminase9	2
terminase33	tectviridae	1
terminase33	terminase1	3
terminase33	terminase10	1
terminase33	terminase11	1
terminase33	terminase12	1
terminase33	terminase13	6
terminase33	terminase14	1
terminase33	terminase15	1
terminase33	terminase16	2
terminase33	terminase17	1
terminase33	terminase18	3
terminase33	terminase2	2
terminase33	terminase22	2
terminase33	terminase23	3
terminase33	terminase24	3
terminase33	terminase25	1
terminase33	terminase26	1
terminase33	terminase28	1
terminase33	terminase29	1
terminase33	terminase3	4
terminase33	terminase31	2
terminase33	terminase32	1
terminase33	terminase34	1
terminase33	terminase38	2
terminase33	terminase39	1
terminase33	terminase4	1
terminase33	terminase44	5
terminase33	terminase5	4
terminase33	terminase6	3
terminase33	terminase7	2
terminase33	terminase8	4
terminase33	terminase9	3
terminase34	tectviridae	1
terminase34	terminase1	3
terminase34	terminase10	1
terminase34	terminase11	2
terminase34	terminase12	1
terminase34	terminase13	10
terminase34	terminase14	2
terminase34	terminase15	1
terminase34	terminase16	5
terminase34	terminase17	1
terminase34	terminase18	5
terminase34	terminase2	6
terminase34	terminase22	6
terminase34	terminase23	4
terminase34	terminase24	5
terminase34	terminase25	4
terminase34	terminase26	2
terminase34	terminase28	2
terminase34	terminase29	1
terminase34	terminase3	4
terminase34	terminase31	1
terminase34	terminase32	1
terminase34	terminase33	1
terminase34	terminase38	2
terminase34	terminase39	4
terminase34	terminase4	1
terminase34	terminase44	2
terminase34	terminase5	10
terminase34	terminase6	3
terminase34	terminase7	5
terminase34	terminase8	8
terminase34	terminase9	6
terminase38	tectviridae	1
terminase38	terminase1	4
terminase38	terminase10	1
terminase38	terminase11	2
terminase38	terminase12	1
terminase38	terminase13	8
terminase38	terminase14	7
terminase38	terminase15	12
terminase38	terminase16	3
terminase38	terminase17	1
terminase38	terminase18	2
terminase38	terminase2	3
terminase38	terminase22	1
terminase38	terminase23	1
terminase38	terminase24	3
terminase38	terminase25	3
terminase38	terminase26	1
terminase38	terminase28	1
terminase38	terminase29	1
terminase38	terminase3	5
terminase38	terminase31	2
terminase38	terminase32	1
terminase38	terminase33	2
terminase38	terminase34	2
terminase38	terminase39	1
terminase38	terminase4	4
terminase38	terminase44	3
terminase38	terminase5	4
terminase38	terminase6	4
terminase38	terminase7	3
terminase38	terminase8	3
terminase38	terminase9	3
terminase39	tectviridae	1
terminase39	terminase1	7
terminase39	terminase10	1
terminase39	terminase11	4
terminase39	terminase12	1
terminase39	terminase13	9
terminase39	terminase14	3
terminase39	terminase15	2
terminase39	terminase16	11
terminase39	terminase17	1
terminase39	terminase18	5
terminase39	terminase2	3
terminase39	terminase22	32
terminase39	terminase23	2
terminase39	terminase24	6
terminase39	terminase25	3
terminase39	terminase26	3
terminase39	terminase28	1
terminase39	terminase29	1
terminase39	terminase3	8
terminase39	terminase31	4
terminase39	terminase32	1
terminase39	terminase33	1
terminase39	terminase34	4
terminase39	terminase38	1
terminase39	terminase4	2
terminase39	terminase44	7
terminase39	terminase5	11
terminase39	terminase6	8
terminase39	terminase7	5
